team,group,confederation,fifa_ranking,world_cups_won,appearances,is_host,is_debut,matches_2023_2026,wins,draws,losses,goals_scored_total,goals_conceded_total,goal_diff,avg_goals_scored,avg_goals_conceded,win_pct,draw_pct,loss_pct,clean_sheet_pct,ppg,avg_possession,avg_shots_pg,avg_shots_on_target_pg,avg_passes_pg
Tunisia,F,CAF,47,0,6,0,0,49,22,14,10,63,36,27,1.37,0.78,44.9,28.6,20.4,46.9,1.63,49.2,8.3,2.0,447.0
Scotland,C,UEFA,47,0,8,0,0,40,16,6,15,59,53,6,1.59,1.43,40.0,15.0,37.5,30.0,1.35,44.3,5.7,1.0,410.7
Bosnia and Herzegovina,B,UEFA,52,0,2,0,0,36,9,8,16,39,56,-17,1.18,1.7,25.0,22.2,44.4,19.4,0.97,48.0,11.5,3.5,450.0
Panama,L,CONCACAF,53,0,2,0,0,58,28,12,15,89,69,20,1.62,1.25,48.3,20.7,25.9,25.9,1.66,53.3,12.5,3.8,449.5
Qatar,B,AFC,53,0,2,0,0,53,19,14,17,74,71,3,1.48,1.42,35.8,26.4,32.1,22.6,1.34,44.3,6.7,2.0,468.7
Iraq,I,AFC,56,0,5,0,0,50,26,10,11,69,43,26,1.47,0.91,52.0,20.0,22.0,40.0,1.76,46.0,10.5,3.2,400.0
Uzbekistan,K,AFC,57,0,1,0,1,45,22,14,6,65,33,32,1.55,0.79,48.9,31.1,13.3,48.9,1.78,48.0,11.0,3.5,420.0
Saudi Arabia,H,AFC,58,0,6,0,0,59,23,12,21,68,61,7,1.21,1.09,39.0,20.3,35.6,33.9,1.37,46.8,10.0,3.0,396.7
DR Congo,K,CAF,62,0,2,0,0,47,23,13,8,53,24,29,1.2,0.55,48.9,27.7,17.0,51.1,1.74,47.2,15.4,5.0,401.9
Jordan,J,AFC,64,0,1,0,1,54,22,12,17,86,69,17,1.69,1.35,40.7,22.2,31.5,31.5,1.44,44.0,10.0,3.0,390.0
South Africa,A,CAF,65,0,3,0,0,52,21,21,7,70,41,29,1.43,0.84,40.4,40.4,13.5,40.4,1.62,51.8,13.0,6.4,497.0
Ghana,L,CAF,74,0,4,0,0,39,12,10,14,47,45,2,1.31,1.25,30.8,25.6,35.9,28.2,1.18,46.0,8.3,2.7,336.7
Cape Verde,H,CAF,75,0,1,0,1,43,17,12,11,49,42,7,1.23,1.05,39.5,27.9,25.6,44.2,1.47,52.1,16.0,4.6,472.8
Curaçao,E,CONCACAF,82,0,1,0,1,37,13,10,11,60,43,17,1.76,1.26,35.1,27.0,29.7,35.1,1.32,45.0,9.0,3.0,360.0
Haiti,C,CONCACAF,83,0,2,0,0,37,17,8,9,76,39,37,2.24,1.15,45.9,21.6,24.3,35.1,1.59,43.0,8.0,2.5,350.0
New Zealand,G,OFC,88,0,3,0,0,36,13,6,14,63,37,26,1.91,1.12,36.1,16.7,38.9,33.3,1.25,42.0,7.0,2.5,380.0
